"","species","varval","genus","family","order","class","phylum","kingdom"
"3823","Acrantophis madagascariensis",13182.5673855641,"Acrantophis","Boidae","Squamata","Reptilia","Chordata","Animalia"
"3838","Acridotheres cinereus",98.8,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3842","Acridotheres cristatellus",112.666666666667,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3896","Acridotheres fuscus",93.4666666666667,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3904","Acridotheres ginginianus",72,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3909","Acridotheres grandis",99,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3915","Acridotheres javanicus",98.8,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3919","Acridotheres tristis",118.25,"Acridotheres","Sturnidae","Passeriformes","Aves","Chordata","Animalia"
"3951","Acris crepitans",1.317122,"Acris","Hylidae","Anura","Amphibia","Chordata","Animalia"
"4007","Acritillas indica",30.6,"Acritillas","Pycnonotidae","Passeriformes","Aves","Chordata","Animalia"
"4012","Acrobates pygmaeus",13.284,"Acrobates","Acrobatidae","Diprotodontia","Mammalia","Chordata","Animalia"
"4066","Acrobatornis fonsecai",13.7,"Acrobatornis","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"4070","Acrocephalus aequinoctialis",25,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4074","Acrocephalus agricola",10.46875,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4092","Acrocephalus arundinaceus",29.4166666666667,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4136","Acrocephalus australis",23.3777777777778,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4156","Acrocephalus baeticatus",10.12,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4170","Acrocephalus bistrigiceps",8.3,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4181","Acrocephalus brevipennis",16.3333333333333,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4188","Acrocephalus concinens",8.3,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
"4193","Acrocephalus dumetorum",11.6192307692308,"Acrocephalus","Acrocephalidae","Passeriformes","Aves","Chordata","Animalia"
