;;MVB20358;m;45;1,3;;
;;SAMB48287;m;;1,4;;
;;SAMB45322;m;;1,3;;
;;ANWC28466;f;;1,2;;
;;SAMB45901;f;;1,1;;
;;SAMB45323;f;;1,125;;
;;SAMB33923;f;;1,15;;
Neopsittacus;muschenbrookii;MVB20029;f;57;2,45;;
Neopsittacus;pullicauda;MVB19173;;34,5;1,95;;
Nestor;meridionalis;USNM18191;;;13;;
Nestor;notabilis;MVB11538;m;;15,5;;
;;MVB12965;m;;16,75;;
;;SAMB11537;m;;16,25;;
;;USNM226487;m;;16;;
;;USNM225989;m;;18,25;;
;;USNM615000;f;;12,25;;
Northiella;haematogaster;MVB20006;m;90;2,6;;
;;MVB13070;m;86,9;2;;
;;SAMB46604;m;;2,7;;
;;SAMB47577;m;;2,6;;
;;MVB14099;f;64,3;2,35;;
;;MVB8783;f;;2;;
;;SAMB47576;f;;2,3;;
;;SAMB48938;f;;2,55;;
;;SAMB47575;f;;2,4;;
Ogonorhynchus;icterotis;USNM428769;f;;8,85;;
;;USNM428770;m;;8,85;;
Oreopsittacus;arfaki;USNM610202;f;19;1,15;;
;;USNM610201;m;20;1,15;;
Pezoporus;wallicus;MVB12998;m;74;2,65;;
;;MVB17877;m;79,1;2,8;;
;;MVB20655;m;;2,65;;
;;AMO60945;m;;2,55;;
Pionites;leucogaster;USNM291568;m;;4,95;;
;;USNM322389;m;;4,8;;
;;USNM322169;m;;5,2;;
;;USNM288533;f;;5,4;;
;;USNM614246;f;137,7;5,7;;
;;USNM;f;133,9;5,15;;
Pionites;melanocephala;USNM320878;m;;5;;
;;USNM344089;m;;5,05;;
;;USNM502505;m;;5,8;;
;;USNM614245;m;119,2;5,55;;
;;USNM291569;f;;4,8;;
;;USNM346889;f;135,9;4,8;;
;;USNM614244;f;171,3;5,4;;
;;ANWC23831;;;4,8;;
Pionopsitta;barrabandi;USNM500293;m;;4;;
Pionopsitta;caica;USNM621714;f;143;3,3;;
;;USNM621393;f;128,6;3,4;;
Pionopsitta;haematotis;USNM500300;m;;4,4;;
;;USNM562541;m;153;3,6;;
;;USNM612290;m;140;3,8;;
Pionus;maximilliani;USNM502283;f;;5,6;;
Pionus;menstruus;MVB16377;m;;5,7;;
;;USNM344091;m;;5,05;;
;;USNM428198;m;;6,05;;
;;USNM289387;m;;5,6;;
;;USNM345859;m;;6,3;;
;;USNM612293;m;230;5,8;;
;;USNM290140;f;;5,9;;
;;USNM502502;f;;5,4;;
Platycercus;adscitus;ANWC23772;m;92;3;;
;;MVB8540;m;;2,8;;
;;MVB20615;m;97;3,35;;
;;ANWC23773;f;86;2,85;;
;;QMO27779;f;84;2,95;;
;;AMO64718;f;;3,45;;
;;AMO60906;f;;3,05;;
Platycercus;caledonicus;ANWC47264;m;146;3,9;;
